Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
75116_106_01;14 Rue félicien david;75016;FREE MOBILE;3G/4G/5G;11/05/2018;11/05/2018;08/09/2022;;;"{""coordinates"": [2.2749839994394576, 48.850325999598724], ""type"": ""Point""}";48.850325999598724, 2.2749839994394576
T10551;15 Rue bardinet;75014;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.3167169994713093, 48.83040899982948], ""type"": ""Point""}";48.83040899982948, 2.3167169994713093
T16972;15 Rue d'amsterdam;75008;BOUYGUES;;08/08/2019;;;;;"{""coordinates"": [2.326801499667273, 48.87677700014459], ""type"": ""Point""}";48.87677700014459, 2.326801499667273
75119_002_01;154 Rue d'aubervilliers;75019;FREE MOBILE;3G/4G/5G;26/09/2013;26/09/2013;22/02/2022;;;"{""coordinates"": [2.370028500457851, 48.89348099979568], ""type"": ""Point""}";48.89348099979568, 2.370028500457851
751333;16 Rue ginette neveu;75018;SFR;2G/3G/4G/5G;30/06/2021;;;;;"{""coordinates"": [2.34563849967628, 48.89959200028128], ""type"": ""Point""}";48.89959200028128, 2.34563849967628
75105_006_01;16 Rue pascal;75005;FREE MOBILE;3G/4G/5G;14/08/2013;27/08/2013;;;;"{""coordinates"": [2.3494320005694753, 48.838248000353914], ""type"": ""Point""}";48.838248000353914, 2.3494320005694753
750584;16 Rue washington;75008;SFR;2G/3G/4G/5G;30/03/2022;;;;;"{""coordinates"": [2.302501499860408, 48.87273600038317], ""type"": ""Point""}";48.87273600038317, 2.302501499860408
T10661;163 Rue des poissonniers;75018;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.352379500407025, 48.89775600026955], ""type"": ""Point""}";48.89775600026955, 2.352379500407025
75116_141_01;17 Rue de l'annonciation;75016;FREE MOBILE;3G/4G/5G;01/12/2021;01/12/2021;02/12/2021;;;"{""coordinates"": [2.279774732825898, 48.85633115418227], ""type"": ""Point""}";48.85633115418227, 2.279774732825898
T15233;17 Impasse truillot;75011;BOUYGUES;;11/12/2009;;;;;"{""coordinates"": [2.3740992733520243, 48.860183116372376], ""type"": ""Point""}";48.860183116372376, 2.3740992733520243
T16735;17 Rue bouilloux lafont;75015;BOUYGUES;;08/12/2021;;;;;"{""coordinates"": [2.2795740006418947, 48.83678100007479], ""type"": ""Point""}";48.83678100007479, 2.2795740006418947
75113_075_01;17-19 Rue cacheux;75013;FREE MOBILE;3G/4G/5G;10/03/2020;24/03/2020;16/02/2023;;;"{""coordinates"": [2.346156000200587, 48.8204730002169], ""type"": ""Point""}";48.8204730002169, 2.346156000200587
00007798U5;182 Rue saint honoré;75001;ORANGE;3G/4G;03/12/2012;26/09/2012;;;;"{""coordinates"": [2.3389497626231863, 48.86241513011689], ""type"": ""Point""}";48.86241513011689, 2.3389497626231863
T96885;190 Avenue de clichy;75017;BOUYGUES;;31/08/2021;;;;;"{""coordinates"": [2.315405781040973, 48.89354613966611], ""type"": ""Point""}";48.89354613966611, 2.315405781040973
751304;190 Rue legendre;75017;SFR;2G/3G/4G/5G;07/04/2021;;;;;"{""coordinates"": [2.3264280000196593, 48.892013999984535], ""type"": ""Point""}";48.892013999984535, 2.3264280000196593
7510058534;2 Rue guy patin;75010;SFR;3G/4G/5G;29/11/2024;;;;;"{""coordinates"": [2.3512769996142473, 48.88245599970228], ""type"": ""Point""}";48.88245599970228, 2.3512769996142473
T53425;2 Rue villaret de joyeuse;75017;BOUYGUES;;31/08/2023;;;;;"{""coordinates"": [2.289530754903049, 48.87624814994848], ""type"": ""Point""}";48.87624814994848, 2.289530754903049
T15822;2 Sq desnouettes;75015;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.2835790003912124, 48.8348189999507], ""type"": ""Point""}";48.8348189999507, 2.2835790003912124
75117_024_02;2 Rue villaret de joyeuse;75017;FREE MOBILE;3G/4G/5G;03/02/2014;03/02/2014;17/01/2024;;;"{""coordinates"": [2.289482999371847, 48.8762280000598], ""type"": ""Point""}";48.8762280000598, 2.289482999371847
7510000016;20 Boulevard poissonnière;75009;SFR;3G/4G/5G;12/12/2024;;;;;"{""coordinates"": [2.3453684997584063, 48.87128699957609], ""type"": ""Point""}";48.87128699957609, 2.3453684997584063
75118_001_03;20 Rue leon;75018;FREE MOBILE;3G/4G/5G;13/01/2014;13/01/2014;;;;"{""coordinates"": [2.3535900002846804, 48.887919000434685], ""type"": ""Point""}";48.887919000434685, 2.3535900002846804
75114_074_01;207 Rue vercingetorix;75014;FREE MOBILE;3G/4G/5G;04/07/2024;04/07/2024;31/07/2024;;;"{""coordinates"": [2.3086034998833176, 48.83074199962951], ""type"": ""Point""}";48.83074199962951, 2.3086034998833176
75112_013_05;209 Rue de charenton;75012;FREE MOBILE;3G/4G/5G;26/09/2016;23/09/2016;;;;"{""coordinates"": [2.3891922605898777, 48.839366111216286], ""type"": ""Point""}";48.839366111216286, 2.3891922605898777
751205;21 Place du commerce;75015;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.293711227928748, 48.84503614910081], ""type"": ""Point""}";48.84503614910081, 2.293711227928748
750312;212 Avenue jean jaures;75019;SFR;2G/3G/4G/5G;01/03/2022;;;;;"{""coordinates"": [2.392992000496006, 48.88858499956678], ""type"": ""Point""}";48.88858499956678, 2.392992000496006
T59485;2-14 Rue gérard de nerval;75018;BOUYGUES;;28/11/2024;;;;;"{""coordinates"": [2.3348115005951446, 48.900248999870755], ""type"": ""Point""}";48.900248999870755, 2.3348115005951446
757543;21b-23 boulevard bourdon;75014;SFR;3G/4G/5G;27/06/2024;;;;;"{""coordinates"": [2.366732761898747, 48.85005811965599], ""type"": ""Point""}";48.85005811965599, 2.366732761898747
75119_031_01;22 Rue des lilas;75019;FREE MOBILE;3G/4G/5G;26/11/2014;26/11/2014;;;;"{""coordinates"": [2.3966505002887946, 48.87960300016329], ""type"": ""Point""}";48.87960300016329, 2.3966505002887946
75108_067_01;23 Rue de moscou;75008;FREE MOBILE;3G/4G/5G;31/07/2019;15/10/2019;29/04/2022;;;"{""coordinates"": [2.323804500051704, 48.881043000114005], ""type"": ""Point""}";48.881043000114005, 2.323804500051704
T18937;230 Rue de crimee;75019;BOUYGUES;;04/04/2007;;;;;"{""coordinates"": [2.3739210002112343, 48.89338200036733], ""type"": ""Point""}";48.89338200036733, 2.3739210002112343
75106_008_07;24 Rue du regard;75006;FREE MOBILE;3G/4G/5G;05/02/2015;05/02/2015;;;;"{""coordinates"": [2.3268644997064696, 48.84734700000997], ""type"": ""Point""}";48.84734700000997, 2.3268644997064696
00080183U8;247 Rue de belleville;75019;ORANGE;3G/4G/5G;25/11/2011;13/06/2013;27/04/2023;;;"{""coordinates"": [2.3974812973569266, 48.87566310701567], ""type"": ""Point""}";48.87566310701567, 2.3974812973569266
753618;25 Avenue rapp;75007;SFR;3G/4G;01/07/2024;;;;;"{""coordinates"": [2.3010030002366375, 48.859487999579265], ""type"": ""Point""}";48.859487999579265, 2.3010030002366375
75110_003_04;25 Boulevard magenta;75010;FREE MOBILE;3G/4G/5G;06/03/2019;01/03/2019;30/08/2023;;;"{""coordinates"": [2.3605380004450267, 48.871007999571304], ""type"": ""Point""}";48.871007999571304, 2.3605380004450267
75102_007_05;25 Boulevard poissonnière;75002;FREE MOBILE;3G/4G/5G;26/12/2017;26/12/2017;;;;"{""coordinates"": [2.3438609997930393, 48.871188000250925], ""type"": ""Point""}";48.871188000250925, 2.3438609997930393
00010910U5;25 Rue vernet;75008;ORANGE;3G/4G/5G;10/11/2017;10/11/2017;14/11/2023;;;"{""coordinates"": [2.2979384994898036, 48.871971000314396], ""type"": ""Point""}";48.871971000314396, 2.2979384994898036
T15899;25-31 Rue pradier;75019;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3827455002521702, 48.87671399999678], ""type"": ""Point""}";48.87671399999678, 2.3827455002521702
75116_116_03;5 Rue de lasteyrie;75116;FREE MOBILE;3G/4G/5G;17/01/2022;17/01/2022;01/02/2022;;;"{""coordinates"": [2.2841010003665976, 48.87141300004228], ""type"": ""Point""}";48.87141300004228, 2.2841010003665976
75102_019_16;5 Rue etienne marcel;75002;FREE MOBILE;3G/4G/5G;16/07/2019;16/08/2019;01/08/2024;;;"{""coordinates"": [2.350246500451913, 48.863466000247186], ""type"": ""Point""}";48.863466000247186, 2.350246500451913
T15570;5 Rue lobineau;75006;BOUYGUES;;29/11/2012;;;;;"{""coordinates"": [2.336517000435225, 48.85168500008695], ""type"": ""Point""}";48.85168500008695, 2.336517000435225
75117_091_01;53-55 Rue legendre;75017;FREE MOBILE;3G/4G/5G;13/12/2023;13/12/2023;;;;"{""coordinates"": [2.316451780316108, 48.88558856417017], ""type"": ""Point""}";48.88558856417017, 2.316451780316108
00000073U7;54 Rue michel ange;75016;ORANGE;3G/4G/5G;11/07/2012;12/08/2013;04/06/2024;;;"{""coordinates"": [2.2607532141892843, 48.84401016196481], ""type"": ""Point""}";48.84401016196481, 2.2607532141892843
753553;54 Boulevard de la tour maubourg;75007;SFR;3G/4G;25/07/2024;;;;;"{""coordinates"": [2.309920247908477, 48.85871614163507], ""type"": ""Point""}";48.85871614163507, 2.309920247908477
00026037U3;55 Avenue bosquet;75007;ORANGE;3G/4G;06/11/2018;14/08/2018;;;;"{""coordinates"": [2.3047244997377834, 48.85681500019872], ""type"": ""Point""}";48.85681500019872, 2.3047244997377834
750283;55 Rue de l'assomption;75016;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.268265500335473, 48.854943000313156], ""type"": ""Point""}";48.854943000313156, 2.268265500335473
00080174U8;56 Avenue de saint ouen;75018;ORANGE;3G/4G/5G;24/05/2011;17/09/2014;13/02/2023;;;"{""coordinates"": [2.3269347830889613, 48.89087313455224], ""type"": ""Point""}";48.89087313455224, 2.3269347830889613
7510058530;57 Rue de montreuil;75011;SFR;3G/4G/5G;11/06/2024;;;;;"{""coordinates"": [2.3894328395625957, 48.850578594779094], ""type"": ""Point""}";48.850578594779094, 2.3894328395625957
T15800;58 Boulevard de charonne;75020;BOUYGUES;;29/11/1999;;;;;"{""coordinates"": [2.3980095001557897, 48.85230599959899], ""type"": ""Point""}";48.85230599959899, 2.3980095001557897
T15993;58 Rue du théâtre;75015;BOUYGUES;;05/03/2018;;;;;"{""coordinates"": [2.289581999339818, 48.84825600026025], ""type"": ""Point""}";48.84825600026025, 2.289581999339818
T10687;59 Boulevard vincent auriol;75013;BOUYGUES;;21/06/2013;;;;;"{""coordinates"": [2.3692589993615476, 48.835116000386], ""type"": ""Point""}";48.835116000386, 2.3692589993615476
7510051980;6 Avenue joseph bedier;75013;SFR;3G/4G/5G;03/08/2023;;;;;"{""coordinates"": [2.372431499798343, 48.82075200021268], ""type"": ""Point""}";48.82075200021268, 2.372431499798343
75112_025_01;6 Place felix eboue;75012;FREE MOBILE;3G/4G/5G;06/10/2014;06/10/2014;;;;"{""coordinates"": [2.3956560000874725, 48.83918399980245], ""type"": ""Point""}";48.83918399980245, 2.3956560000874725
00080254U7;61 Avenue de la porte d'auteuil;75016;ORANGE;3G/4G/5G;;14/04/2023;14/04/2023;;;"{""coordinates"": [2.243731499785699, 48.847940999926905], ""type"": ""Point""}";48.847940999926905, 2.243731499785699
7510041107;61b Rue du chevaleret;75013;SFR;3G/4G/5G;22/03/2024;;;;;"{""coordinates"": [2.3766074999221756, 48.82792499971904], ""type"": ""Point""}";48.82792499971904, 2.3766074999221756
00000078U7;64 Avenue de mozart;75016;ORANGE;3G/4G/5G;17/12/2019;20/12/2019;08/12/2023;;;"{""coordinates"": [2.2689764998603326, 48.8542590003754], ""type"": ""Point""}";48.8542590003754, 2.2689764998603326
00025135U3;64 Rue de varenne;75007;ORANGE;3G/4G/5G;02/04/2021;12/04/2018;30/10/2023;;;"{""coordinates"": [2.320177499661913, 48.85495199970069], ""type"": ""Point""}";48.85495199970069, 2.320177499661913
753621;64 Rue sedaine;75011;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.377420273427738, 48.85805911480518], ""type"": ""Point""}";48.85805911480518, 2.377420273427738
7510058662;64 Rue de la santé;75014;SFR;3G/4G/5G;29/12/2023;;;;;"{""coordinates"": [2.341125000055711, 48.83059800004632], ""type"": ""Point""}";48.83059800004632, 2.341125000055711
T35906;66 Rue d'aubervilliers;75019;BOUYGUES;;17/12/2018;;;;;"{""coordinates"": [2.3676299994364878, 48.88803600037542], ""type"": ""Point""}";48.88803600037542, 2.3676299994364878
750287;67 Avenue du maine;75014;SFR;2G/3G/4G/5G;16/07/2021;;;;;"{""coordinates"": [2.322477000136344, 48.839256000363235], ""type"": ""Point""}";48.839256000363235, 2.322477000136344
00000419U7;68-70 Rue st charles;75015;ORANGE;3G/4G;29/01/2013;15/01/2018;;;;"{""coordinates"": [2.286391500446739, 48.84778799967964], ""type"": ""Point""}";48.84778799967964, 2.286391500446739
75106_030_16;69 Rue madame;75006;FREE MOBILE;3G/4G/5G;05/03/2024;05/03/2024;05/04/2024;;;"{""coordinates"": [2.33164799953738, 48.84666300016166], ""type"": ""Point""}";48.84666300016166, 2.33164799953738
00080065U7;7 Avenue mac mahon;75017;ORANGE;3G/4G/5G;04/04/2013;13/03/2020;06/07/2023;;;"{""coordinates"": [2.2944600006038054, 48.875634000316275], ""type"": ""Point""}";48.875634000316275, 2.2944600006038054
00000101U7;7 Place d'iéna;75016;ORANGE;3G/4G/5G;03/05/2011;14/06/2013;31/10/2023;;;"{""coordinates"": [2.293753499647067, 48.864249000322445], ""type"": ""Point""}";48.864249000322445, 2.293753499647067
00000018U7;7 Rue monticelli;75014;ORANGE;3G/4G/5G;02/03/2012;25/06/2018;11/07/2024;;;"{""coordinates"": [2.3289885002576454, 48.82169700025341], ""type"": ""Point""}";48.82169700025341, 2.3289885002576454
T15966;7 Avenue alphonse xiii;75016;BOUYGUES;;08/12/2016;;;;;"{""coordinates"": [2.2809014999643664, 48.85657199957283], ""type"": ""Point""}";48.85657199957283, 2.2809014999643664
00000047U7;75-77 Rue bonaparte;75006;ORANGE;3G/4G;;20/04/2018;;;;"{""coordinates"": [2.3328179994573874, 48.84880500017544], ""type"": ""Point""}";48.84880500017544, 2.3328179994573874
00000019U7;8 Villa du parc montsouris;75014;ORANGE;3G/4G/5G;10/12/2014;18/12/2015;04/12/2020;;;"{""coordinates"": [2.3340807224801154, 48.82206813274195], ""type"": ""Point""}";48.82206813274195, 2.3340807224801154
T15768;8 Avenue de lamballe;75116;BOUYGUES;;02/12/2005;;;;;"{""coordinates"": [2.282418000433914, 48.8546100000947], ""type"": ""Point""}";48.8546100000947, 2.282418000433914
T10579;8 Rue lamarck;75018;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.3444594999930337, 48.88676699988544], ""type"": ""Point""}";48.88676699988544, 2.3444594999930337
T15322;80 Boulevard garibaldi;75015;BOUYGUES;;29/01/2024;;;;;"{""coordinates"": [2.3089319993940265, 48.845573999777365], ""type"": ""Point""}";48.845573999777365, 2.3089319993940265
75113_086_04;82 Rue regnault;75013;FREE MOBILE;3G/4G/5G;18/11/2023;18/11/2023;13/12/2023;;;"{""coordinates"": [2.371567499643836, 48.823541999969564], ""type"": ""Point""}";48.823541999969564, 2.371567499643836
00000096U7;86 Rue de la tour;75016;ORANGE;3G/4G/5G;01/06/2012;12/09/2013;10/11/2022;;;"{""coordinates"": [2.278892737791963, 48.861587154231], ""type"": ""Point""}";48.861587154231, 2.278892737791963
751159;9 Rue de medicis;75006;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.339702999505631, 48.848364000399286], ""type"": ""Point""}";48.848364000399286, 2.339702999505631
75112_011_08;9 Rue lachambaudie;75012;FREE MOBILE;3G/4G/5G;21/11/2012;29/01/2014;;;;"{""coordinates"": [2.386894500438285, 48.83641199992349], ""type"": ""Point""}";48.83641199992349, 2.386894500438285
00025152U5;96 Boulevard des batignolles;75017;ORANGE;3G/4G;10/05/2021;10/05/2021;;;;"{""coordinates"": [2.3172795002908804, 48.881663999563855], ""type"": ""Point""}";48.881663999563855, 2.3172795002908804
75105_013_01;270 Rue saint-jacques;75005;FREE MOBILE;3G/4G/5G;06/03/2014;06/03/2014;;;;"{""coordinates"": [2.341116000249726, 48.84201899977161], ""type"": ""Point""}";48.84201899977161, 2.341116000249726
00000407U7;28 Rue saint dominique;75007;ORANGE;3G/4G;24/06/2013;09/10/2013;;;;"{""coordinates"": [2.317169751283657, 48.85998513936077], ""type"": ""Point""}";48.85998513936077, 2.317169751283657
T10153;283 Rue de charenton;75012;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.39361750013797, 48.83477400027308], ""type"": ""Point""}";48.83477400027308, 2.39361750013797
00000049U8;2b Rue du jourdain;75020;ORANGE;3G/4G/5G;03/06/2013;20/10/2015;27/10/2022;;;"{""coordinates"": [2.3896665001248754, 48.87401399997566], ""type"": ""Point""}";48.87401399997566, 2.3896665001248754
75101_015_03;3 Rue de la banque;75001;FREE MOBILE;3G/4G/5G;23/04/2019;25/04/2019;;;;"{""coordinates"": [2.3400567655268403, 48.866420130317536], ""type"": ""Point""}";48.866420130317536, 2.3400567655268403
7510058810;3 Rue du docteur finlay;75015;SFR;3G/4G/5G;26/06/2024;;;;;"{""coordinates"": [2.2870079997327037, 48.85280100031442], ""type"": ""Point""}";48.85280100031442, 2.2870079997327037
75108_016_06;31 Avenue georges v;75008;FREE MOBILE;3G/4G/5G;29/11/2013;26/11/2013;;;;"{""coordinates"": [2.3008274998655462, 48.86879399986495], ""type"": ""Point""}";48.86879399986495, 2.3008274998655462
T15155;33 Boulevard voltaire;75011;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3689214995300434, 48.86466299961155], ""type"": ""Point""}";48.86466299961155, 2.3689214995300434
T19914;33 Rue de la verrerie- 52rue de rivoli;75004;BOUYGUES;;09/12/2009;;;;;"{""coordinates"": [2.3539725000232146, 48.8575349996409], ""type"": ""Point""}";48.8575349996409, 2.3539725000232146
00034703U3;34 Boulevard de vaugirard;75015;ORANGE;3G/4G/5G;14/12/2021;14/12/2021;14/12/2021;;;"{""coordinates"": [2.3172705005947303, 48.84135300017788], ""type"": ""Point""}";48.84135300017788, 2.3172705005947303
75116_103_02;36 Avenue d'iéna;75016;FREE MOBILE;3G/4G/5G;13/11/2019;13/11/2019;25/10/2023;;;"{""coordinates"": [2.2950944994104177, 48.86624699988574], ""type"": ""Point""}";48.86624699988574, 2.2950944994104177
T15137;41 Avenue de l'opera;75002;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.33287649992534, 48.86880300039287], ""type"": ""Point""}";48.86880300039287, 2.33287649992534
75116_034_03;41 Boulevard suchet;75016;FREE MOBILE;3G/4G/5G;11/09/2015;11/09/2015;;;;"{""coordinates"": [2.2643144998392275, 48.856455000420944], ""type"": ""Point""}";48.856455000420944, 2.2643144998392275
T35803;42 Rue daviel;75013;BOUYGUES;;05/10/2021;;;;;"{""coordinates"": [2.3433753443803416, 48.8284835764697], ""type"": ""Point""}";48.8284835764697, 2.3433753443803416
00032205U5;43 Rue de l'arbre sec;75001;ORANGE;3G/4G/5G;05/12/2017;05/12/2017;22/12/2023;;;"{""coordinates"": [2.34239850044337, 48.86110800029742], ""type"": ""Point""}";48.86110800029742, 2.34239850044337
T10934;44 Rue rebeval;75019;BOUYGUES;;29/08/1997;;;;;"{""coordinates"": [2.3790132885499844, 48.874574113947816], ""type"": ""Point""}";48.874574113947816, 2.3790132885499844
75112_028_01;45 Avenue de saint-mandé;75012;FREE MOBILE;3G/4G/5G;27/09/2016;27/09/2016;30/03/2023;;;"{""coordinates"": [2.402899270271186, 48.84513510519395], ""type"": ""Point""}";48.84513510519395, 2.402899270271186
00000060U7;4-6 Pas des écoliers;75015;ORANGE;3G/4G/5G;16/02/2012;17/04/2013;04/07/2023;;;"{""coordinates"": [2.2920299996831757, 48.84474599967234], ""type"": ""Point""}";48.84474599967234, 2.2920299996831757
00000108U7;48 Avenue foch;75016;ORANGE;3G/4G/5G;16/02/2015;16/02/2015;29/11/2024;;;"{""coordinates"": [2.2854537510102038, 48.87335015184916], ""type"": ""Point""}";48.87335015184916, 2.2854537510102038
75116_044_29;49 Avenue de versailles;75016;FREE MOBILE;3G/4G/5G;23/03/2018;23/03/2018;30/08/2023;;;"{""coordinates"": [2.2748669999999893, 48.84829199960266], ""type"": ""Point""}";48.84829199960266, 2.2748669999999893
T10517;49 Rue de la fédération;75015;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.295350999355695, 48.85354799987574], ""type"": ""Point""}";48.85354799987574, 2.295350999355695
75111_058_03;196 bis Rue de la roquette;75011;FREE MOBILE;3G/4G/5G;04/06/2019;03/05/2019;30/06/2022;;;"{""coordinates"": [2.3882040004242593, 48.859604999780174], ""type"": ""Point""}";48.859604999780174, 2.3882040004242593
75113_020_02;2 Rue vulpian;75013;FREE MOBILE;3G/4G/5G;24/07/2013;19/11/2013;;;;"{""coordinates"": [2.3467139996108113, 48.83247000008085], ""type"": ""Point""}";48.83247000008085, 2.3467139996108113
T10918;05-07 Rue rubens;75013;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.3555159999153976, 48.83450400013781], ""type"": ""Point""}";48.83450400013781, 2.3555159999153976
T16762;1 Rue aumont thieville;75017;BOUYGUES;;26/09/2024;;;;;"{""coordinates"": [2.2890464997942064, 48.88359900034358], ""type"": ""Point""}";48.88359900034358, 2.2890464997942064
T15069;1 Rue verniquet;75017;BOUYGUES;;19/02/2004;;;;;"{""coordinates"": [2.3004657688056556, 48.88683214528272], ""type"": ""Point""}";48.88683214528272, 2.3004657688056556
00000014U6;10 Rue bruneseau;75013;ORANGE;3G/4G/5G;22/04/2011;30/06/2014;13/10/2023;;;"{""coordinates"": [2.387313000247808, 48.82473899970934], ""type"": ""Point""}";48.82473899970934, 2.387313000247808
00028833U5;10-12 Rue jean baptiste pigalle;75009;ORANGE;3G/4G/5G;12/06/2020;08/06/2020;30/12/2022;;;"{""coordinates"": [2.3328089993962067, 48.87856800001458], ""type"": ""Point""}";48.87856800001458, 2.3328089993962067
T15817;103 Rue des morillons;75015;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3055303271105654, 48.83184956113828], ""type"": ""Point""}";48.83184956113828, 2.3055303271105654
00000129U7;104 Avenue st germain;75006;ORANGE;3G/4G/5G;03/10/2012;05/04/2013;24/06/2022;;;"{""coordinates"": [2.3427252539037107, 48.85168712924904], ""type"": ""Point""}";48.85168712924904, 2.3427252539037107
T10152;104 Boulevard poniatowski;75012;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.406078000290304, 48.834945000437024], ""type"": ""Point""}";48.834945000437024, 2.406078000290304
T15250;104 Rue d'aboukir;75002;BOUYGUES;;28/04/2011;;;;;"{""coordinates"": [2.3495399993493775, 48.868470000214664], ""type"": ""Point""}";48.868470000214664, 2.3495399993493775
00080199U7;115 Avenue victor hugo;75016;ORANGE;3G/4G;05/01/2011;26/11/2013;;;;"{""coordinates"": [2.282624999709244, 48.868380000106484], ""type"": ""Point""}";48.868380000106484, 2.282624999709244
T10623;12-14 Rue auguste laurent;75011;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.382043500363317, 48.85761599980375], ""type"": ""Point""}";48.85761599980375, 2.382043500363317
753591;12 Rue leo delibes;75116;SFR;2G/3G/4G;09/02/2024;;;;;"{""coordinates"": [2.287930499787575, 48.86708399971483], ""type"": ""Point""}";48.86708399971483, 2.287930499787575
750039;120 B Rue des pyrenees;75020;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.4037514995160976, 48.85794900006745], ""type"": ""Point""}";48.85794900006745, 2.4037514995160976
00000072U8;121-123 Avenue ledru rollin;75011;ORANGE;3G/4G/5G;31/12/2012;05/09/2013;06/11/2020;;;"{""coordinates"": [2.3776137690529198, 48.85408111508663], ""type"": ""Point""}";48.85408111508663, 2.3776137690529198
T10923;122 Avenue du general leclerc;75014;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.3257062230812484, 48.824885136727225], ""type"": ""Point""}";48.824885136727225, 2.3257062230812484
7510057784;13 Boulevard exelmans;75016;SFR;3G/4G/5G;02/01/2024;;;;;"{""coordinates"": [2.2658670004499877, 48.84012000003111], ""type"": ""Point""}";48.84012000003111, 2.2658670004499877
T15902;13-15 Rue edgarue poe;75019;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3764949995125892, 48.877271999707524], ""type"": ""Point""}";48.877271999707524, 2.3764949995125892
00032246U5;13-15 Avenue de flandres;75019;ORANGE;3G/4G/5G;01/06/2017;01/06/2017;09/07/2021;;;"{""coordinates"": [2.3693624998429907, 48.885047999757575], ""type"": ""Point""}";48.885047999757575, 2.3693624998429907
75116_031_20;135 Bis boulevard murat;75016;FREE MOBILE;3G/4G/5G;06/08/2019;27/08/2019;08/10/2021;;;"{""coordinates"": [2.2608269998751984, 48.83710499973458], ""type"": ""Point""}";48.83710499973458, 2.2608269998751984
T15065;14 Rue de bassano;75116;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.29703849989943, 48.8686859997959], ""type"": ""Point""}";48.8686859997959, 2.29703849989943
751278;14 Rue frederick lemaitre;75020;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.3921775001976857, 48.87396899966876], ""type"": ""Point""}";48.87396899966876, 2.3921775001976857
00027107U5;146 Boulevard malesherbes;75017;ORANGE;3G/4G/5G;18/08/2014;12/08/2014;19/07/2019;;;"{""coordinates"": [2.30683050026483, 48.88576800027805], ""type"": ""Point""}";48.88576800027805, 2.30683050026483
75115_095_01;145 Rue saint-charles;75015;FREE MOBILE;3G/4G/5G;09/09/2021;09/09/2021;23/09/2021;;;"{""coordinates"": [2.2826727222315637, 48.84311915309636], ""type"": ""Point""}";48.84311915309636, 2.2826727222315637
75116_079_01;15 Avenue mozart;75016;FREE MOBILE;3G/4G/5G;05/05/2017;05/05/2017;;;;"{""coordinates"": [2.273006731050971, 48.85714115705157], ""type"": ""Point""}";48.85714115705157, 2.273006731050971
753604;15 Boulevard saint michel;75005;SFR;3G/4G;25/11/2024;;;;;"{""coordinates"": [2.343613499732863, 48.851856000212415], ""type"": ""Point""}";48.851856000212415, 2.343613499732863
75111_086_01;15 Rue des nanettes;75011;FREE MOBILE;3G/4G/5G;29/08/2023;29/08/2023;27/09/2023;;;"{""coordinates"": [2.3838345001318104, 48.86454599989323], ""type"": ""Point""}";48.86454599989323, 2.3838345001318104
T15773;16 Rue leconte de lisle;75116;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.268153000476864, 48.84856200041865], ""type"": ""Point""}";48.84856200041865, 2.268153000476864
00023730U3;17 Avenue de saxe;75007;ORANGE;3G/4G/5G;10/08/2015;04/08/2015;13/12/2022;;;"{""coordinates"": [2.309107500301524, 48.849155999970755], ""type"": ""Point""}";48.849155999970755, 2.309107500301524
75113_012_01;17 Rue abel gance;75013;FREE MOBILE;3G/4G/5G;15/03/2012;04/03/2014;07/06/2023;;;"{""coordinates"": [2.3736897513066912, 48.8354871174299], ""type"": ""Point""}";48.8354871174299, 2.3736897513066912
T16764;19 Rue du moulinet;75013;BOUYGUES;;06/07/2023;;;;;"{""coordinates"": [2.3556780000274538, 48.82709699962485], ""type"": ""Point""}";48.82709699962485, 2.3556780000274538
T10656;2 Avenue porte des lilas;75020;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.4072029995275157, 48.87710100009054], ""type"": ""Point""}";48.87710100009054, 2.4072029995275157
