Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
75107_012_02;3 Rue Vauban;75007;FREE MOBILE;3G/4G/5G;20/01/2014;20/01/2014;;;;"{""coordinates"": [2.3134634998450934, 48.85332299992724], ""type"": ""Point""}";48.85332299992724, 2.3134634998450934
00031095U3;30 Rue nationale;75013;ORANGE;3G/4G/5G;27/01/2016;13/01/2016;15/01/2021;;;"{""coordinates"": [2.3682623236875275, 48.823867059222664], ""type"": ""Point""}";48.823867059222664, 2.3682623236875275
T15164;31 Quai de valmy;75010;BOUYGUES;;01/06/2007;;;;;"{""coordinates"": [2.3668019994075946, 48.868803000091624], ""type"": ""Point""}";48.868803000091624, 2.3668019994075946
00030730U5;33 Avenue george v;75008;ORANGE;3G/4G/5G;08/11/2016;08/11/2016;18/07/2023;;;"{""coordinates"": [2.300796000522324, 48.869100000049464], ""type"": ""Point""}";48.869100000049464, 2.300796000522324
7510052045;346 Rue des pyrenees;75020;SFR;3G/4G/5G;27/12/2024;;;;;"{""coordinates"": [2.388375000195853, 48.873887999907325], ""type"": ""Point""}";48.873887999907325, 2.388375000195853
T15007;36 Rue des bernardins;75005;BOUYGUES;;11/03/2011;;;;;"{""coordinates"": [2.35003499980561, 48.84933599968975], ""type"": ""Point""}";48.84933599968975, 2.35003499980561
00000038U7;4 Rue firmin gillot;75015;ORANGE;3G/4G/5G;28/11/2012;30/04/2013;23/08/2023;;;"{""coordinates"": [2.2898879996311123, 48.8329650000644], ""type"": ""Point""}";48.8329650000644, 2.2898879996311123
756595;4 Place jussieu;75005;SFR;2G/3G/4G/5G;12/08/2022;;;;;"{""coordinates"": [2.35503899984388, 48.84634800042152], ""type"": ""Point""}";48.84634800042152, 2.35503899984388
75120_009_03;4 Rue d'amiens;75020;FREE MOBILE;3G/4G/5G;10/01/2014;10/01/2014;06/03/2024;;;"{""coordinates"": [2.410981286831574, 48.85919310194829], ""type"": ""Point""}";48.85919310194829, 2.410981286831574
T10535;4 Rue de sevres;75006;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.329348499591619, 48.85209900033688], ""type"": ""Point""}";48.85209900033688, 2.329348499591619
75115_027_01;40 Rue des freres voisin;75015;FREE MOBILE;3G/4G/5G;22/01/2014;22/01/2014;22/06/2021;;;"{""coordinates"": [2.271145499414714, 48.82799699968225], ""type"": ""Point""}";48.82799699968225, 2.271145499414714
75114_013_31;40-44 Boulevard jourdan;75014;FREE MOBILE;3G/4G/5G;22/06/2021;22/06/2021;06/07/2021;;;"{""coordinates"": [2.33220149964308, 48.82194900040194], ""type"": ""Point""}";48.82194900040194, 2.33220149964308
T10676;41 Boulevard de strasbourg;75010;BOUYGUES;;08/09/1999;;;;;"{""coordinates"": [2.355421807362444, 48.87191758057809], ""type"": ""Point""}";48.87191758057809, 2.355421807362444
T10530;43-45 Rue des sts pères;75006;BOUYGUES;;26/07/2024;;;;;"{""coordinates"": [2.331340252642836, 48.85555713315274], ""type"": ""Point""}";48.85555713315274, 2.331340252642836
75108_068_01;46 Rue de londres;75008;FREE MOBILE;3G/4G/5G;30/11/2021;30/11/2021;20/01/2022;;;"{""coordinates"": [2.3261625004607738, 48.87818999964083], ""type"": ""Point""}";48.87818999964083, 2.3261625004607738
00000016U8;5 Rue de montyon;75009;ORANGE;3G/4G/5G;04/02/2011;21/08/2012;20/12/2023;;;"{""coordinates"": [2.34454050042833, 48.873032999805616], ""type"": ""Point""}";48.873032999805616, 2.34454050042833
00000427U7;5 Rue louis codet;75007;ORANGE;3G/4G/5G;28/04/2013;15/05/2013;04/12/2023;;;"{""coordinates"": [2.3083649996824542, 48.85498799997281], ""type"": ""Point""}";48.85498799997281, 2.3083649996824542
T15078;5 Rue de suez;75018;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.3527664999070415, 48.8875049998149], ""type"": ""Point""}";48.8875049998149, 2.3527664999070415
750311;5 Rue gaston darboux;75018;SFR;2G/3G/4G/5G;10/05/2021;;;;;"{""coordinates"": [2.369686500239684, 48.89922300019206], ""type"": ""Point""}";48.89922300019206, 2.369686500239684
750035;5 Rue rubens;75013;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.3553944993849383, 48.83461199992445], ""type"": ""Point""}";48.83461199992445, 2.3553944993849383
00015887U3;51 Rue de lille;75007;ORANGE;3G/4G;05/02/2019;05/02/2019;;;;"{""coordinates"": [2.3273802548001776, 48.85918413540599], ""type"": ""Point""}";48.85918413540599, 2.3273802548001776
T96387;51 Rue polonceau;75018;BOUYGUES;;12/10/2023;;;;;"{""coordinates"": [2.350682999721554, 48.88584899985996], ""type"": ""Point""}";48.88584899985996, 2.350682999721554
75118_018_06;52 Rue championnet;75018;FREE MOBILE;3G/4G/5G;09/10/2017;09/10/2017;;;;"{""coordinates"": [2.3477265004310564, 48.89573999985222], ""type"": ""Point""}";48.89573999985222, 2.3477265004310564
00006737U5;54 Quai de la rapée;75012;ORANGE;3G/4G/5G;10/12/2012;06/11/2017;28/06/2024;;;"{""coordinates"": [2.37199950013223, 48.84279300002211], ""type"": ""Point""}";48.84279300002211, 2.37199950013223
